danceability,energy,key,loudness,mode_,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,time_signature,playlist
0.388,0.595,1,-9.799,1,0.0325,0.663,5.58e-05,0.178,190.043,204213,4,0
0.665,0.389,1,-6.709,1,0.441,0.745,0.000982,0.326,89.962,210001,4,0
0.863,0.601,7,-6.978,0,0.054,0.109,0.00764,0.0676,122.961,251960,4,0
0.558,0.432,0,-8.94,1,0.0271,0.15,0.000261,0.265,72.975,243253,4,0
0.701,0.884,10,-7.338,0,0.0546,0.00537,0.0011,0.402,120.002,340268,4,0
0.747,0.557,7,-5.363,1,0.0394,0.0264,0.00961,0.547,139.958,285160,4,0
0.383,0.66,9,-6.286,1,0.0304,0.001,0.0484,0.135,93.932,224681,4,0
0.534,0.719,1,-7.586,0,0.0437,0.0246,0.895,0.0956,117.027,259186,4,0
0.641,0.782,5,-9.345,1,0.0294,0.0193,0.432,0.288,106.999,331963,4,0
0.47,0.902,10,-6.261,0,0.0437,0.129,0.342,0.226,100.003,274533,4,0
0.387,0.626,1,-7.134,0,0.0344,0.242,0.0012,0.11,139.724,373133,4,0
0.603,0.562,4,-7.66,1,0.0381,0.549,0.0,0.225,116.02,384250,4,0
0.611,0.677,10,-6.745,0,0.034,0.0764,0.0698,0.241,166.04,255320,4,0
0.879,0.566,11,-8.789,1,0.0364,0.411,0.000128,0.0794,114.006,315693,4,0
0.495,0.491,6,-9.337,0,0.0248,0.00412,0.39,0.103,104.224,353227,4,0
0.391,0.784,0,-5.117,0,0.178,0.000693,0.00379,0.119,193.712,237520,4,0
0.508,0.674,5,-4.204,0,0.031,0.000244,0.201,0.172,109.027,220133,4,0
0.451,0.773,8,-8.886,0,0.0404,0.000443,0.91,0.163,122.99,233560,4,0
0.483,0.593,9,-6.864,1,0.029,0.0252,0.00961,0.269,127.154,209280,4,0
0.526,0.515,9,-13.372,1,0.0378,0.583,0.758,0.116,150.034,260880,4,0
0.734,0.526,1,-8.086,1,0.0492,0.465,0.000251,0.11,125.936,319819,4,0
0.55,0.321,0,-8.291,1,0.0381,0.00104,0.576,0.0767,75.077,223779,4,0
0.256,0.564,2,-7.836,1,0.045,0.968,0.928,0.0848,76.58,183331,4,0
0.392,0.39,0,-16.047,1,0.0434,0.915,0.926,0.623,71.684,86700,4,0
0.544,0.758,0,-5.854,1,0.0319,0.0928,0.000232,0.113,141.804,215933,4,0
0.606,0.627,6,-12.566,0,0.0491,0.0745,0.797,0.432,123.132,178200,4,0
0.342,0.977,9,-5.941,1,0.0798,0.0293,0.0474,0.384,174.035,136496,4,0
0.67,0.697,4,-7.858,1,0.114,0.231,0.289,0.362,96.089,360480,4,0
0.598,0.928,8,-6.821,1,0.117,0.0133,4.14e-05,0.293,127.01,334940,4,0
0.689,0.519,7,-10.072,1,0.0437,0.0632,0.0153,0.118,114.928,267411,4,0
0.733,0.54,1,-11.918,1,0.0505,0.668,0.687,0.0985,101.4,198720,4,0
0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,101.654,204280,4,0
0.324,0.256,7,-11.229,0,0.042,0.869,0.078,0.134,77.906,223600,4,0
0.484,0.721,3,-5.717,1,0.0839,0.425,0.908,0.454,117.017,141107,4,0
0.479,0.973,0,-6.076,0,0.0582,0.38,0.287,0.164,160.103,123266,4,0
0.598,0.945,11,-6.003,0,0.0668,0.0317,0.957,0.101,125.043,230077,4,0
0.672,0.568,9,-13.064,1,0.0481,0.31,0.901,0.11,107.038,276573,4,0
0.58,0.422,4,-12.654,0,0.0281,0.211,0.589,0.0944,140.014,231400,4,0
0.564,0.903,6,-6.413,0,0.0334,0.074,2.32e-05,0.26,117.014,245753,4,0
0.349,0.405,3,-17.494,1,0.0354,0.97,0.961,0.0772,173.876,294262,4,0
0.895,0.543,6,-7.75,1,0.0803,0.319,0.131,0.079,109.979,226973,4,0
